Frame Number, Location X, Location Y, Rotation
1814, 852.749105, 424.573668, -156.474075
1815, 851.810891, 424.202883, -155.804352
1816, 850.956558, 423.857842, -155.131668
1817, 848.852959, 422.959948, -154.451721
1818, 847.830822, 422.513682, -153.769135
1819, 846.921444, 422.107981, -153.083771
1820, 845.013501, 421.21572, -152.391312
1821, 843.946, 420.704805, -151.691589
1822, 842.949579, 420.216904, -150.984268
1823, 841.804957, 419.640826, -150.269363
1824, 840.067015, 418.729086, -149.544724
1825, 839.005955, 418.1594, -148.814865
1826, 837.961039, 417.584764, -148.080521
1827, 836.864158, 416.965557, -147.342148
1828, 834.942838, 415.83, -146.597443
1829, 833.982148, 415.250593, -145.849823
1830, 832.902734, 414.58349, -145.099304
1831, 831.884958, 413.939294, -144.346115
1832, 830.72032, 413.181031, -143.589996
1833, 828.911245, 411.951016, -142.828751
1834, 827.990452, 411.312472, -142.064056
1835, 827.12835, 410.702597, -141.291855
1836, 825.115707, 409.208215, -140.478363
1837, 824.09356, 408.432999, -139.646118
1838, 823.113232, 407.672979, -138.784088
1839, 822.190599, 406.941615, -137.880127
1840, 821.26089, 406.186716, -136.902313
1841, 819.371926, 404.572195, -135.794678
1842, 818.519111, 403.827417, -134.636703
1843, 817.496025, 402.907126, -133.431427
1844, 816.498891, 401.981568, -132.190582
1845, 814.658082, 400.163295, -130.909958
1846, 813.814441, 399.307705, -129.615524
1847, 812.812876, 398.255218, -128.31015
1848, 811.791917, 397.13964, -126.997574
1849, 810.0987, 395.157708, -125.677567
1850, 809.305836, 394.201635, -124.354813
1851, 808.375176, 393.034315, -123.030846
1852, 806.777612, 390.878099, -121.707039
1853, 806.007245, 389.803866, -120.382919
1854, 805.26314, 388.728723, -119.05925
1855, 803.843748, 386.514732, -117.747253
1856, 803.137113, 385.372482, -116.445663
1857, 801.790627, 383.178081, -115.18914
1858, 801.044864, 381.955865, -113.994026
1859, 800.376883, 380.854579, -112.861282
1860, 799.073917, 378.677962, -111.820099
1861, 798.486024, 377.631785, -110.815269
1862, 797.823188, 376.363661, -109.836746
1863, 796.774152, 374.111895, -108.862549
1864, 796.220024, 372.858261, -107.889801
1865, 795.183612, 370.256646, -106.914932
1866, 794.643894, 368.835376, -105.936302
1867, 793.74851, 366.26382, -104.951355
1868, 793.222088, 364.676029, -103.963066
1869, 792.337167, 361.742434, -102.970856
1870, 791.91343, 360.274569, -101.976616
1871, 791.503514, 358.782118, -100.980827
1872, 790.737852, 355.657337, -99.982582
